"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","IMMIGINFLOW","TOT","NBR","A","2014",241814,
"ITA","IMMIGINFLOW","TOT","NBR","A","2015",221628,
"ITA","IMMIGINFLOW","TOT","NBR","A","2016",212094,
"ITA","IMMIGINFLOW","TOT","NBR","A","2017",216920,
"ITA","IMMIGINFLOW","TOT","NBR","A","2018",224589,
"ITA","IMMIGINFLOW","TOT","NBR","A","2019",191269.158,
"JPN","IMMIGINFLOW","TOT","NBR","A","2008",97739,
"JPN","IMMIGINFLOW","TOT","NBR","A","2009",65490,
"JPN","IMMIGINFLOW","TOT","NBR","A","2010",55675,
"JPN","IMMIGINFLOW","TOT","NBR","A","2011",59111,
"JPN","IMMIGINFLOW","TOT","NBR","A","2012",66375,
"JPN","IMMIGINFLOW","TOT","NBR","A","2013",57317,
"JPN","IMMIGINFLOW","TOT","NBR","A","2014",63920,
"JPN","IMMIGINFLOW","TOT","NBR","A","2015",81825,
"JPN","IMMIGINFLOW","TOT","NBR","A","2016",95196,
"JPN","IMMIGINFLOW","TOT","NBR","A","2017",100555,
"JPN","IMMIGINFLOW","TOT","NBR","A","2018",116386,
"JPN","IMMIGINFLOW","TOT","NBR","A","2019",137823.744,
"GBR","IMMIGINFLOW","TOT","NBR","A","2008",358149,
"GBR","IMMIGINFLOW","TOT","NBR","A","2009",395076,
"GBR","IMMIGINFLOW","TOT","NBR","A","2010",448702,
"GBR","IMMIGINFLOW","TOT","NBR","A","2011",339796,
"GBR","IMMIGINFLOW","TOT","NBR","A","2012",286985,
"GBR","IMMIGINFLOW","TOT","NBR","A","2013",295144,
"GBR","IMMIGINFLOW","TOT","NBR","A","2014",350030,
"GBR","IMMIGINFLOW","TOT","NBR","A","2015",369879,
"GBR","IMMIGINFLOW","TOT","NBR","A","2016",351043,
"GBR","IMMIGINFLOW","TOT","NBR","A","2017",342174,
"GBR","IMMIGINFLOW","TOT","NBR","A","2018",342828,
"GBR","IMMIGINFLOW","TOT","NBR","A","2019",345651,
"USA","IMMIGINFLOW","TOT","NBR","A","2008",1107126,
"USA","IMMIGINFLOW","TOT","NBR","A","2009",1130231,
"USA","IMMIGINFLOW","TOT","NBR","A","2010",1043259,
"USA","IMMIGINFLOW","TOT","NBR","A","2011",1062352,
"USA","IMMIGINFLOW","TOT","NBR","A","2012",1031907,
"USA","IMMIGINFLOW","TOT","NBR","A","2013",990753,
"USA","IMMIGINFLOW","TOT","NBR","A","2014",1017255,
"USA","IMMIGINFLOW","TOT","NBR","A","2015",1051031,
"USA","IMMIGINFLOW","TOT","NBR","A","2016",1183505,
"USA","IMMIGINFLOW","TOT","NBR","A","2017",1127167,
"USA","IMMIGINFLOW","TOT","NBR","A","2018",1096611,
"USA","IMMIGINFLOW","TOT","NBR","A","2019",1030990,
